trie	query	space
FST	2.4848	1.4312
C1-FST	1.3637	1.4638
C2-FST	1.3371	0.8841

CoCo'	0.9913	1.4565
C1-CoCo	0.9094	1.4457
C2-CoCo	0.8988	0.8659

Marisa	0.6816	1.3514
C1-Marisa	0.5158	1.3188
C2-Marisa	0.5146	0.7500

Marisa-1	0.9547	1.0362
C1-Marisa-1	0.7629	1.0217
C2-Marisa-1	0.8107	0.5326

PDT	0.7064	0.4710
C-ART	1.0912	0.5797
